Date,Open,High,Close,Low,Volume,Adj Close
2016-08-30,25.02,27.42,27.42,25.02,62625.03,27.42
2016-08-29,25.12,25.4,24.91,24.83,28075.08,24.91
2016-08-26,25.08,25.69,25.28,25.08,38998.68,25.28
2016-08-25,25.51,25.52,25.33,24.8,36048.95,25.33
2016-08-24,25.28,25.72,25.54,25.05,34782.9,25.54
2016-08-23,25.07,25.28,25.1,24.8,25160.55,25.1
2016-08-22,25.75,26.05,25.01,25.0,35415.77,25.01
2016-08-19,26.05,26.18,25.71,25.49,33511.9,25.71
2016-08-18,26.33,26.63,25.99,25.82,53110.43,25.99
2016-08-17,25.4,26.79,26.43,25.31,79117.41,26.43
2016-08-16,25.47,26.08,25.68,25.47,61478.13,25.68
2016-08-15,24.95,25.48,25.45,24.58,57397.88,25.45
2016-08-12,24.39,24.86,24.76,24.31,25975.36,24.76
2016-08-11,25.17,25.17,24.56,24.51,42230.32,24.56
2016-08-10,25.1,25.83,25.33,25.1,57984.81,25.33
2016-08-09,24.88,25.2,25.05,24.67,43475.58,25.05
2016-08-08,24.05,25.1,24.96,24.05,46409.22,24.96
2016-08-05,25.02,25.08,24.31,24.16,44611.75,24.31
2016-08-04,24.87,25.3,25.03,24.72,40906.23,25.03
2016-08-03,24.2,25.37,24.87,24.05,56636.56,24.87
2016-08-02,23.95,24.38,24.22,23.85,36019.28,24.22
2016-08-01,24.98,25.0,23.87,23.66,45259.08,23.87
2016-07-29,25.49,25.49,24.98,24.8,44410.58,24.98
2016-07-28,26.75,26.97,25.59,24.72,79420.26,25.59
2016-07-27,29.73,29.75,26.75,26.75,105186.37,26.75
2016-07-26,29.48,29.86,29.72,29.48,29548.82,29.72
2016-07-25,29.4,29.98,29.64,28.91,41990.7,29.64
2016-07-22,30.03,30.13,29.18,29.0,57391.57,29.18
2016-07-21,30.0,30.57,29.96,29.94,42694.28,29.96
2016-07-20,30.51,30.8,30.29,30.28,46224.27,30.29
2016-07-19,29.7,30.69,30.68,29.59,66870.9,30.68
2016-07-18,30.0,30.35,29.6,29.5,62785.42,29.6
2016-07-15,30.49,31.04,30.44,30.22,54341.88,30.44
